ticker,date,compound,Interpretation
TRP,2020-11-18,0.0,Neutral
TRP,2020-11-19,0.2732,Positive
TRP,2020-11-21,0.0,Neutral
TRP,2020-11-23,0.5106,Positive
TRP,2020-11-24,0.5267,Positive
TRP,2020-11-26,0.34,Positive
TRP,2020-11-30,0.4939,Positive
TRP,2020-12-01,0.8979,Positive
TRP,2020-12-03,-0.5719,Negative
TRP,2020-12-07,0.2732,Positive
TRP,2020-12-09,0.5106,Positive
TRP,2020-12-12,0.4767,Positive
TRP,2020-12-14,0.2732,Positive
TRP,2020-12-15,0.6006600000000001,Positive
TRP,2020-12-16,0.46745000000000003,Positive
TRP,2020-12-24,0.0,Neutral
TRP,2020-12-31,0.2553,Positive
TRP,2021-01-06,0.2732,Positive
TRP,2021-01-13,0.4219333333333333,Positive
TRP,2021-01-17,0.296,Positive
TRP,2021-01-19,-0.1392,Negative
TRP,2021-01-20,-0.125,Negative
TRP,2021-01-21,-0.12470000000000002,Negative
TRP,2021-01-22,0.3919,Positive
VALE,2020-07-07,0.04930000000000001,Neutral
VALE,2020-07-08,0.6249,Positive
VALE,2020-07-12,0.0,Neutral
VALE,2020-07-13,-0.2732,Negative
VALE,2020-07-14,0.11224999999999996,Positive
VALE,2020-07-15,0.08869999999999996,Positive
VALE,2020-07-16,-0.296,Negative
VALE,2020-07-17,-0.3818,Negative
VALE,2020-07-20,0.0,Neutral
VALE,2020-07-21,0.26335,Positive
VALE,2020-07-22,-0.31845,Negative
VALE,2020-07-23,0.5574,Positive
VALE,2020-07-24,0.5106,Positive
VALE,2020-07-27,-0.22365,Negative
VALE,2020-07-29,-0.30696666666666667,Negative
VALE,2020-07-30,-0.14143333333333333,Negative
VALE,2020-07-31,0.0,Neutral
VALE,2020-08-04,0.296,Positive
VALE,2020-08-05,0.4215,Positive
VALE,2020-08-07,-0.07613333333333332,Negative
VALE,2020-08-13,0.34,Positive
VALE,2020-08-16,0.4019,Positive
VALE,2020-08-20,-0.5423,Negative
VALE,2020-08-23,-0.2732,Negative
VALE,2020-08-25,-0.31020000000000003,Negative
VALE,2020-08-26,-0.6249,Negative
VALE,2020-09-01,0.0,Neutral
VALE,2020-09-02,0.06885000000000001,Positive
VALE,2020-09-03,0.4215,Positive
VALE,2020-09-08,-0.4404,Negative
VALE,2020-09-14,0.09866666666666667,Positive
VALE,2020-09-15,0.2553,Positive
VALE,2020-09-18,0.0,Neutral
VALE,2020-09-19,-0.1531,Negative
VALE,2020-09-23,0.34,Positive
VALE,2020-09-28,0.06780000000000001,Positive
VALE,2020-10-01,0.5106,Positive
VALE,2020-10-02,0.0,Neutral
VALE,2020-10-05,0.0,Neutral
VALE,2020-10-07,0.0,Neutral
VALE,2020-10-08,0.0,Neutral
VALE,2020-10-09,0.3182,Positive
VALE,2020-10-12,0.0,Neutral
VALE,2020-10-20,0.0,Neutral
VALE,2020-10-21,0.31245,Positive
VALE,2020-10-22,0.0,Neutral
VALE,2020-10-26,0.0,Neutral
VALE,2020-10-27,-0.4215,Negative
VALE,2020-10-30,0.3404,Positive
VALE,2020-11-18,-0.18213333333333334,Negative
VALE,2020-11-25,0.0,Neutral
VALE,2020-12-03,0.0,Neutral
VALE,2020-12-11,0.0,Neutral
VALE,2020-12-18,0.0,Neutral
VALE,2020-12-19,-0.8225,Negative
VALE,2020-12-20,0.6369,Positive
VALE,2020-12-21,0.4404,Positive
VALE,2020-12-29,0.0,Neutral
VALE,2020-12-30,0.5267,Positive
VALE,2021-01-05,0.7783,Positive
VALE,2021-01-06,0.0,Neutral
VALE,2021-01-07,-0.1706,Negative
VALE,2021-01-12,0.6249,Positive
VALE,2021-01-13,0.25,Positive
VALE,2021-01-14,0.0,Neutral
VALE,2021-01-15,0.0,Neutral
VALE,2021-01-21,-0.21919999999999998,Negative
VALE,2021-01-22,0.0,Neutral
VZ,2020-12-18,0.09545,Positive
VZ,2020-12-19,0.0,Neutral
VZ,2020-12-21,0.3847333333333333,Positive
VZ,2020-12-22,0.47575,Positive
VZ,2020-12-23,0.34,Positive
VZ,2020-12-24,0.23653333333333335,Positive
VZ,2020-12-27,0.0,Neutral
VZ,2020-12-29,-0.269025,Negative
VZ,2020-12-30,0.07087500000000001,Positive
VZ,2021-01-01,0.21230000000000002,Positive
VZ,2021-01-02,0.0,Neutral
VZ,2021-01-03,-0.1779,Negative
VZ,2021-01-04,0.1511,Positive
VZ,2021-01-05,0.08231666666666666,Positive
VZ,2021-01-06,0.14426666666666665,Positive
VZ,2021-01-07,-0.07743,Negative
VZ,2021-01-08,-0.106975,Negative
VZ,2021-01-09,0.0,Neutral
VZ,2021-01-11,0.07015,Positive
VZ,2021-01-12,0.07747142857142857,Positive
VZ,2021-01-13,0.2164,Positive
VZ,2021-01-14,0.0,Neutral
VZ,2021-01-15,0.17020000000000002,Positive
VZ,2021-01-16,-0.0258,Neutral
VZ,2021-01-17,-0.4019,Negative
VZ,2021-01-19,0.17020000000000002,Positive
VZ,2021-01-20,-0.23553333333333334,Negative
VZ,2021-01-21,0.0,Neutral
ABT,2020-10-31,0.04594999999999999,Neutral
ABT,2020-11-01,0.3818,Positive
ABT,2020-11-03,0.1909,Positive
ABT,2020-11-05,0.0,Neutral
ABT,2020-11-06,0.0,Neutral
ABT,2020-11-07,0.4111,Positive
ABT,2020-11-10,-0.011300000000000013,Neutral
ABT,2020-11-11,0.4019,Positive
ABT,2020-11-12,0.0,Neutral
ABT,2020-11-13,0.0,Neutral
ABT,2020-11-14,0.0368,Neutral
ABT,2020-11-15,0.2023,Positive
ABT,2020-11-16,0.0,Neutral
ABT,2020-11-17,0.36819999999999997,Positive
ABT,2020-11-18,0.24695,Positive
ABT,2020-11-20,0.0,Neutral
ABT,2020-11-21,0.2023,Positive
ABT,2020-11-22,0.0,Neutral
ABT,2020-11-23,0.3612,Positive
ABT,2020-11-26,0.7783,Positive
ABT,2020-11-27,0.2023,Positive
ABT,2020-11-30,0.0,Neutral
ABT,2020-12-01,0.0,Neutral
ABT,2020-12-02,0.4793,Positive
ABT,2020-12-03,0.0,Neutral
ABT,2020-12-04,0.5994,Positive
ABT,2020-12-05,-0.3818,Negative
ABT,2020-12-07,0.4404,Positive
ABT,2020-12-09,0.0,Neutral
ABT,2020-12-10,0.20095,Positive
ABT,2020-12-11,0.09866666666666667,Positive
ABT,2020-12-12,0.0,Neutral
ABT,2020-12-14,0.31603333333333333,Positive
ABT,2020-12-15,0.2270833333333333,Positive
ABT,2020-12-16,0.08698000000000002,Positive
ABT,2020-12-17,0.20095,Positive
ABT,2020-12-18,0.0,Neutral
ABT,2020-12-21,0.11315,Positive
