trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2002-10-11,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-11,10.12389424052655,10.25044306069145,10.069057314483295,2350500.0,10.136549949645996,10.509660577774047,40.042943844328214,-0.2066993713378924,1462580285.0,0.30972063460612737,0.0,0.0,10.21507740020752,yes,up
2002-10-14,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-14,10.140767168764368,10.317934672317298,10.140767168764368,1605700.0,10.233569145202637,10.475281143188477,43.02097851538475,-0.21935081481933594,1464185985.0,0.3005537837536398,0.0,0.0,10.273946762084961,yes,up
2002-10-15,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-15,10.46979967430468,10.46979967430468,10.267321676492472,3177000.0,10.419179916381836,10.445120286941528,48.31056169065042,-0.042182922363279474,1467362985.0,0.29595926556424007,0.0,0.0,10.41987419128418,yes,up
2002-10-16,CAG,0,10.419179517033156,hold,0.0,0.0,0.0,56069.315193558374,down,2002-10-16,10.419179517033156,10.486672180383684,10.229356207507458,2370000.0,10.339032173156738,10.413483142852783,46.3113150122788,0.21935272216796875,1464992985.0,0.29319903037223904,0.0,0.0,10.413204193115234,yes,down
2002-10-17,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-17,10.482455567712549,10.50354670517014,10.246230692670371,1744300.0,10.288414001464844,10.406101369857788,45.04349893513317,0.16873455047607422,1463248685.0,0.2906359576670625,0.0,0.0,10.36841869354248,no,down
2002-10-18,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-18,10.229354641998086,10.545726776123049,10.199827058623274,1864600.0,10.545726776123049,10.4130615234375,52.206249542760695,0.40917682647705256,1465113285.0,0.29458336908368477,0.0,0.0,10.520081520080566,yes,up
2002-10-21,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-21,10.562599513734805,10.701803043770823,10.44026888821734,1956500.0,10.613219261169434,10.426981782913208,53.90335499192338,0.3796501159667969,1467069785.0,0.29222271097438474,0.0,0.0,10.617727279663086,yes,up
2002-10-22,CAG,0,0.0,hold,0.0,0.0,0.0,56069.315193558374,up,2002-10-22,10.63431403275875,10.714461390541445,10.486673999914943,2219000.0,10.6511869430542,10.442378664016724,54.8741038806246,0.23200702667236328,1469288785.0,0.28762018809239304,0.0,0.0,10.661345481872559,yes,up
2002-10-23,CAG,0,10.549947167108623,hold,0.0,0.0,0.0,56069.315193558374,down,2002-10-23,10.549947167108623,10.5921294377282,10.34325093943515,1929000.0,10.507763862609863,10.431200313568116,50.54401354851659,0.168731689453125,1467359785.0,0.2890713177728685,0.0,0.0,10.54817008972168,yes,down
2002-10-24,CAG,0,10.478234680860153,hold,0.0,0.0,0.0,56069.315193558374,down,2002-10-24,10.478234680860153,10.545727337474192,10.22935518650868,2459800.0,10.279974937438965,10.398930406570434,44.53346333993591,-0.008439064025878906,1464899985.0,0.29102137728662875,0.0,0.0,10.362242698669434,yes,down
