date,recom_type,source,ticker,recom_type_ordinal
2020-04-02,Downgrade,Evercore ISI,FBHS,1
2020-03-16,Upgrade,RBC Capital Mkts,FBHS,5
2020-01-30,Upgrade,Loop Capital,FBHS,5
2020-01-07,Downgrade,BofA/Merrill,FBHS,1
2019-12-17,Downgrade,RBC Capital Mkts,FBHS,1
2019-11-21,Initiated,Deutsche Bank,FBHS,2
2019-10-28,Upgrade,SunTrust,FBHS,5
2019-07-02,Downgrade,Loop Capital,FBHS,1
2019-05-06,Upgrade,BofA/Merrill,FBHS,5
2019-01-07,Upgrade,Evercore ISI,FBHS,5
2019-01-04,Upgrade,BofA/Merrill,FBHS,5
2018-12-18,Downgrade,Loop Capital,FBHS,1
2018-12-10,Upgrade,Goldman,FBHS,5
2020-09-17,Initiated,UBS,FMC,2
2020-03-26,Initiated,KeyBanc Capital Markets,FMC,2
2020-03-13,Upgrade,BofA/Merrill,FMC,5
2019-10-16,Upgrade,Robert W. Baird,FMC,5
2019-10-16,Initiated,Wells Fargo,FMC,2
2019-09-18,Initiated,Exane BNP Paribas,FMC,2
2019-08-09,Upgrade,RBC Capital Mkts,FMC,5
2019-08-02,Upgrade,Goldman,FMC,5
2019-08-01,Downgrade,BofA/Merrill,FMC,1
2019-06-13,Resumed,Citigroup,FMC,4
2019-05-20,Initiated,Morgan Stanley,FMC,2
2019-04-18,Downgrade,RBC Capital Mkts,FMC,1
2019-03-21,Reiterated,Jefferies,FMC,3
2019-03-08,Resumed,Goldman,FMC,4
2018-11-14,Initiated,Buckingham Research,FMC,2
2018-11-09,Resumed,Loop Capital,FMC,4
2018-11-05,Resumed,Credit Suisse,FMC,4
2018-11-05,Resumed,Citigroup,FMC,4
2018-05-14,Upgrade,Goldman,FMC,5
2018-05-04,Upgrade,Stephens,FMC,5
2020-09-23,Upgrade,Barclays,LDOS,5
2020-09-22,Upgrade,JP Morgan,LDOS,5
2020-08-21,Initiated,Evercore ISI,LDOS,2
2020-05-07,Resumed,Credit Suisse,LDOS,4
2020-04-20,Upgrade,Citigroup,LDOS,5
2020-03-31,Initiated,William Blair,LDOS,2
2020-03-03,Upgrade,Wells Fargo,LDOS,5
2020-03-02,Upgrade,Stifel,LDOS,5
2020-02-19,Downgrade,CFRA,LDOS,1
2020-01-09,Downgrade,Wells Fargo,LDOS,1
2019-09-24,Initiated,JP Morgan,LDOS,2
2019-09-20,Initiated,Barclays,LDOS,2
2019-07-09,Downgrade,Citigroup,LDOS,1
2019-06-03,Initiated,Morgan Stanley,LDOS,2
2019-05-09,Resumed,Goldman,LDOS,4
2018-06-18,Downgrade,Goldman,LDOS,1
2018-02-26,Reiterated,Citigroup,LDOS,3
2017-11-21,Resumed,Stifel,LDOS,4
2017-10-25,Upgrade,Wells Fargo,LDOS,5
2017-10-05,Resumed,Jefferies,LDOS,4
2020-11-09,Upgrade,BMO Capital Markets,MGA,5
2020-11-09,Downgrade,Morgan Stanley,MGA,1
2020-04-27,Upgrade,Credit Suisse,MGA,5
2020-04-15,Initiated,Goldman,MGA,2
2020-03-30,Upgrade,Morgan Stanley,MGA,5
2020-03-24,Upgrade,KeyBanc Capital Markets,MGA,5
2020-01-09,Initiated,The Benchmark Company,MGA,2
2019-12-17,Resumed,RBC Capital Mkts,MGA,4
2019-06-27,Initiated,Credit Suisse,MGA,2
2019-05-01,Downgrade,Wolfe Research,MGA,1
2019-04-16,Initiated,Seaport Global Securities,MGA,2
2019-04-15,Downgrade,CIBC,MGA,1
2019-02-22,Downgrade,TD Securities,MGA,1
2019-01-10,Upgrade,TD Securities,MGA,5
2018-10-02,Initiated,Wolfe Research,MGA,2
2018-05-14,Initiated,Evercore ISI,MGA,2
2018-03-22,Downgrade,Morgan Stanley,MGA,1
2018-01-19,Downgrade,TD Securities,MGA,1
2018-01-12,Upgrade,Wells Fargo,MGA,5
2018-01-09,Reiterated,Macquarie,MGA,3
2020-05-18,Downgrade,Standpoint Research,NEM,1
2020-04-16,Downgrade,Barclays,NEM,1
2020-04-09,Initiated,JP Morgan,NEM,2
2020-02-24,Upgrade,CIBC,NEM,5
2020-02-06,Initiated,UBS,NEM,2
2020-01-13,Upgrade,B. Riley FBR,NEM,5
2019-12-05,Resumed,RBC Capital Mkts,NEM,4
2019-10-03,Upgrade,Deutsche Bank,NEM,5
2019-09-13,Initiated,Macquarie,NEM,2
2019-09-11,Upgrade,BMO Capital Markets,NEM,5
2019-09-09,Upgrade,RBC Capital Mkts,NEM,5
2019-05-23,Upgrade,Citigroup,NEM,5
2019-04-22,Upgrade,TD Securities,NEM,5
2019-03-19,Resumed,B. Riley FBR,NEM,4
2019-01-15,Downgrade,CIBC,NEM,1
2018-06-12,Upgrade,Morgan Stanley,NEM,5
2018-03-12,Downgrade,RBC Capital Mkts,NEM,1
2018-01-16,Downgrade,Deutsche Bank,NEM,1
2017-07-27,Upgrade,Argus,NEM,5
2017-03-16,Downgrade,RBC Capital Mkts,NEM,1
2020-12-16,Downgrade,B. Riley Securities,PWR,1
2020-10-21,Downgrade,DA Davidson,PWR,1
2020-09-23,Initiated,Bernstein,PWR,2
2020-05-28,Initiated,Northland Capital,PWR,2
2020-01-07,Upgrade,Robert W. Baird,PWR,5
2019-12-20,Upgrade,DA Davidson,PWR,5
2019-08-23,Initiated,Vertical Research,PWR,2
2019-03-11,Reiterated,B. Riley FBR,PWR,3
2018-02-26,Reiterated,"B. Riley FBR, Inc.",PWR,3
2017-10-11,Resumed,Seaport Global Securities,PWR,4
2017-08-18,Upgrade,Citigroup,PWR,5
2017-08-04,Upgrade,Johnson Rice,PWR,5
2017-08-03,Upgrade,FBR & Co.,PWR,5
2017-07-26,Downgrade,Robert W. Baird,PWR,1
2017-04-07,Reiterated,FBR & Co.,PWR,3
2016-11-15,Upgrade,Robert W. Baird,PWR,5
2016-09-23,Reiterated,Stifel,PWR,3
2016-08-05,Upgrade,Stifel,PWR,5
2016-05-06,Reiterated,Maxim Group,PWR,3
2016-05-06,Reiterated,FBR Capital,PWR,3
2020-11-06,Downgrade,Citigroup,SAP,1
2020-11-02,Downgrade,UBS,SAP,1
2020-10-28,Downgrade,Argus,SAP,1
2020-10-26,Downgrade,JP Morgan,SAP,1
2020-10-26,Downgrade,Exane BNP Paribas,SAP,1
2020-06-16,Reiterated,Oppenheimer,SAP,3
2020-04-22,Downgrade,RBC Capital Mkts,SAP,1
2020-04-09,Upgrade,Deutsche Bank,SAP,5
2019-12-17,Downgrade,BofA/Merrill,SAP,1
2019-07-22,Initiated,Jefferies,SAP,2
2019-07-19,Downgrade,Deutsche Bank,SAP,1
2019-06-17,Upgrade,HSBC Securities,SAP,5
2019-04-29,Upgrade,RBC Capital Mkts,SAP,5
2019-04-25,Reiterated,BMO Capital Markets,SAP,3
2019-04-09,Downgrade,UBS,SAP,1
2019-04-09,Downgrade,HSBC Securities,SAP,1
2019-02-04,Downgrade,BofA/Merrill,SAP,1
2018-07-20,Reiterated,Barclays,SAP,3
2018-06-01,Initiated,Jefferies,SAP,2
2018-03-12,Upgrade,Evercore ISI,SAP,5
